,wage,educ,exper,metro
0,2.07,12,7,1
1,2.12,12,35,1
2,2.54,16,20,1
3,2.68,12,24,1
4,3.09,13,4,1
5,3.16,13,1,0
6,3.2,12,23,1
7,3.27,12,4,1
8,3.32,12,11,1
9,3.32,13,3,1
10,3.34,18,15,1
11,3.39,13,7,1
12,3.39,12,15,0
13,3.39,12,32,0
14,3.42,12,31,1
15,3.47,13,28,1
16,3.49,11,5,1
17,3.5,12,38,1
18,3.5,9,3,1
19,3.5,11,7,1
20,3.5,12,5,1
21,3.5,12,2,1
22,3.5,12,18,1
23,3.53,11,42,1
24,3.54,13,4,1
25,3.57,12,0,1
26,3.59,9,29,1
27,3.68,6,19,1
28,3.68,9,39,1
29,3.68,13,0,1
30,3.68,11,2,1
31,3.68,12,5,0
32,3.68,6,7,1
33,3.68,9,23,1
34,3.68,9,28,0
35,3.68,11,9,0
36,3.68,12,5,1
37,3.68,10,2,1
38,3.68,12,5,1
39,3.68,12,7,0
40,3.68,13,6,1
41,3.68,12,1,1
42,3.68,4,50,1
43,3.68,9,35,1
44,3.68,12,19,1
45,3.68,12,40,1
46,3.68,12,25,1
47,3.68,13,4,1
48,3.71,12,15,0
49,3.76,13,18,0
50,3.79,6,37,1
51,3.79,12,0,1
52,3.79,16,2,1
53,3.81,13,11,1
54,3.81,12,23,1
55,3.82,12,33,1
56,3.86,13,3,0
57,3.87,13,41,1
58,3.87,12,7,1
59,3.87,12,35,0
60,3.87,16,35,1
61,3.89,10,34,1
62,3.93,12,2,0
63,3.98,12,22,0
64,3.99,18,17,1
65,4.03,10,45,1
66,4.03,13,24,0
67,4.04,13,7,0
68,4.04,12,3,1
69,4.04,11,1,1
70,4.05,16,12,1
71,4.05,8,8,1
72,4.05,12,11,1
73,4.05,12,13,1
74,4.05,12,5,1
75,4.05,12,12,0
76,4.14,12,0,1
77,4.14,13,2,1
78,4.2,13,30,1
79,4.21,8,20,1
80,4.24,12,7,0
81,4.24,13,35,1
82,4.29,13,1,0
83,4.34,12,11,1
84,4.35,11,32,1
85,4.35,12,17,1
86,4.37,8,13,0
87,4.38,12,31,1
88,4.38,9,18,1
89,4.42,4,18,1
90,4.42,12,16,1
91,4.42,1,27,1
92,4.42,13,1,0
93,4.42,12,1,1
94,4.42,13,11,1
95,4.42,13,0,1
96,4.42,13,1,1
97,4.42,12,0,1
98,4.42,12,13,0
99,4.42,9,17,1
100,4.42,12,8,0
101,4.42,13,2,1
102,4.42,12,6,0
103,4.42,13,16,1
104,4.42,12,41,0
105,4.42,12,19,1
106,4.42,13,22,1
107,4.42,13,2,1
108,4.42,13,5,1
109,4.42,12,14,0
110,4.42,13,13,1
111,4.42,12,34,1
112,4.42,13,1,1
113,4.42,12,23,1
114,4.42,10,38,1
115,4.42,9,13,1
116,4.42,8,9,1
117,4.42,12,1,0
118,4.42,9,28,0
119,4.42,12,18,1
120,4.45,13,2,1
121,4.45,10,7,1
122,4.47,12,16,0
123,4.51,14,15,1
124,4.52,12,3,0
125,4.53,12,41,1
126,4.58,12,0,0
127,4.59,12,25,0
128,4.59,12,22,0
129,4.6,16,14,1
130,4.6,12,5,1
131,4.6,16,10,0
132,4.6,12,9,1
133,4.6,12,14,0
134,4.6,13,6,1
135,4.6,12,12,1
136,4.6,16,26,1
137,4.6,12,17,1
138,4.6,14,22,1
139,4.6,16,7,1
140,4.6,12,16,0
141,4.6,12,35,1
142,4.63,12,18,1
143,4.66,12,28,0
144,4.66,13,19,0
145,4.72,12,21,0
146,4.72,12,17,1
147,4.72,12,33,0
148,4.72,14,15,1
149,4.72,12,1,1
150,4.72,12,7,1
151,4.72,11,46,0
152,4.77,16,20,1
153,4.78,12,11,1
154,4.79,12,39,0
155,4.79,12,15,1
156,4.79,12,30,1
157,4.79,12,17,1
158,4.79,12,5,0
159,4.79,16,2,0
160,4.79,16,1,0
161,4.79,12,2,1
162,4.79,11,21,1
163,4.79,12,12,1
164,4.79,4,20,1
165,4.79,13,37,1
166,4.79,12,22,1
167,4.79,14,23,1
168,4.79,14,23,1
169,4.79,13,25,1
170,4.79,16,13,1
171,4.79,13,9,1
172,4.79,12,21,1
173,4.79,12,0,0
174,4.79,12,2,1
175,4.79,13,2,1
176,4.79,10,35,1
177,4.79,8,40,0
